file	verdict	ms	rc	status
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_inuse_0523.fof.smt2	unsat	108	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_1459.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_2671.fof.smt2	unsat	410	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0397.fof.smt2	unsat	210	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_0463.fof.smt2	unsat	311	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_1669.fof.smt2	unsat	311	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_0467.fof.smt2	unsat	112	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1695.fof.smt2	unsat	311	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2910.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_structure_forall/thruster_inuse_0161.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_structure_prop/thruster_array_0055.fof.smt2	unsat	110	0	unsat
AUFLIRA/why/smtlib4cf34f.smt2	unsat	510	0	unsat
