# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
F	AUFDTLIRA/20200306-Kanig/spark2014bench/Q719-013__loop_unroll_dyn__loops_static.adb_41_57_overflow_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/Q912-021__codepeer_by_example__assign_arr_unk.adb_4_18_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
F	AUFDTLIRA/20200306-Kanig/spark2014bench/Q926-040__recursion__recursion.adb_43_32_loop_invariant_init___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q926-040__recursion__recursion.adb_43_32_loop_invariant_init___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.adb_191_42_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.adb_191_42_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	8	DTRES-CENSUS narrow_sites=10 wide_sites=10 narrow_pairs=4 wide_pairs=4 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=7 ctor_exact=2 ctor_inexact=0 apply_exact=1 apply_inexact=2 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	8	DTRES-CENSUS narrow_sites=11 wide_sites=11 narrow_pairs=5 wide_pairs=5 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=7 ctor_exact=2 ctor_inexact=0 apply_exact=1 apply_inexact=3 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	2	DTRES-CENSUS narrow_sites=27 wide_sites=27 narrow_pairs=96 wide_pairs=96 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=23 ctor_exact=1 ctor_inexact=0 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=31 wide_sites=31 narrow_pairs=89 wide_pairs=89 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=27 ctor_exact=2 ctor_inexact=0 apply_exact=2 apply_inexact=3 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=53 wide_sites=53 narrow_pairs=291 wide_pairs=291 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=46 ctor_exact=2 ctor_inexact=0 apply_exact=4 apply_inexact=6 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=9 wide_sites=9 narrow_pairs=2 wide_pairs=2 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=5 ctor_exact=2 ctor_inexact=0 apply_exact=1 apply_inexact=3 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_66_13_bounded_dynamic_strings.ads_5_1_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_66_13_bounded_dynamic_strings.ads_5_1_postcondition___00.smt2	12	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	6	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	4	DTRES-CENSUS narrow_sites=1 wide_sites=5 narrow_pairs=0 wide_pairs=6 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	24	DTRES-CENSUS narrow_sites=6 wide_sites=10 narrow_pairs=0 wide_pairs=6 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=8 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__ok_pointers__spark04.adb_22_10_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__ok_pointers__spark04.adb_22_10_null_pointer_dereference___00.smt2	2	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__ok_pointers__spark04.adb_22_10_null_pointer_dereference___00.smt2	4	DTRES-CENSUS narrow_sites=1 wide_sites=5 narrow_pairs=0 wide_pairs=6 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__ok_pointers__spark04.adb_22_10_null_pointer_dereference___00.smt2	12	DTRES-CENSUS narrow_sites=6 wide_sites=10 narrow_pairs=0 wide_pairs=6 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=8 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R125-020__comparison__longest_common_prefix.adb_11_35_overflow_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R226-017__image_attribute__test.adb_8_22_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R226-017__image_attribute__test.adb_8_22_range_check___00.smt2	12	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R419-026__swap_ranges__swap_ranges.adb_16_14_range_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R419-026__swap_ranges__swap_ranges.adb_58_26_overflow_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R427-050__counterex__competition.adb_10_38_length_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R427-050__counterex__competition.adb_10_38_length_check___00.smt2	12	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=11 wide_sites=12 narrow_pairs=37 wide_pairs=37 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=11 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=17 wide_sites=18 narrow_pairs=47 wide_pairs=47 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=17 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTRES-CENSUS narrow_sites=5 wide_sites=6 narrow_pairs=3 wide_pairs=3 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTRES-CENSUS narrow_sites=6 wide_sites=7 narrow_pairs=6 wide_pairs=6 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=6 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=11 wide_sites=12 narrow_pairs=37 wide_pairs=37 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=11 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=19 wide_sites=20 narrow_pairs=58 wide_pairs=58 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=19 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTRES-CENSUS narrow_sites=3 wide_sites=4 narrow_pairs=1 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=3 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=7 wide_sites=8 narrow_pairs=7 wide_pairs=7 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=7 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	7	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=12 wide_sites=12 narrow_pairs=18 wide_pairs=18 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=12 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTRES-CENSUS narrow_sites=141 wide_sites=141 narrow_pairs=1456 wide_pairs=1456 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=36 sym_inexact=0 ctor_exact=105 ctor_inexact=0 apply_exact=12 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=44 wide_sites=44 narrow_pairs=335 wide_pairs=335 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=44 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTRES-CENSUS narrow_sites=5 wide_sites=5 narrow_pairs=2 wide_pairs=2 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTRES-CENSUS narrow_sites=62 wide_sites=62 narrow_pairs=464 wide_pairs=464 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=62 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_30682c_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_30682c_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_30682c_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=3 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_30682c_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=3 wide_sites=4 narrow_pairs=1 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=3 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_30682c_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=5 wide_sites=6 narrow_pairs=4 wide_pairs=4 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_3dbbcf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_3dbbcf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	1	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_496459_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_496459_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_496459_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=21 wide_sites=22 narrow_pairs=74 wide_pairs=74 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=21 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_496459_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTRES-CENSUS narrow_sites=5 wide_sites=6 narrow_pairs=4 wide_pairs=4 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_496459_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=9 wide_sites=10 narrow_pairs=13 wide_pairs=13 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=9 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=10 wide_sites=10 narrow_pairs=11 wide_pairs=11 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTRES-CENSUS narrow_sites=18 wide_sites=18 narrow_pairs=39 wide_pairs=39 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=18 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTRES-CENSUS narrow_sites=33 wide_sites=33 narrow_pairs=116 wide_pairs=116 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=29 ctor_inexact=0 apply_exact=3 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=5 wide_sites=5 narrow_pairs=1 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=5 wide_sites=5 narrow_pairs=2 wide_pairs=2 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTRES-CENSUS narrow_sites=7 wide_sites=7 narrow_pairs=4 wide_pairs=4 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=7 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_610ef4_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
