file	rc	ms	verdict	decided_by	bound_by	total_ms	attempts	online_probe	lra_entries	lra_rounds	atoms	cube_decisions	cube_flips	cube_identical	cube_collect_ms	cube_fm_ms	cube_simplex_ms	cube_simplex_calls	cube_matrices	cold_builds	cold_build_ms	cold_ms	cold_pivots	capture
QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2	0	25128	unknown																					./captures-00/QF_LRA_LassoRanker_SV-COMP_GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration9_Loop_4-lexTemplate.smt2	0	25127	unknown																					./captures-00/QF_LRA_LassoRanker_CooperatingT2_hongyi1.t2.c_Iteration9_Loop_4-lexTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	0	24328	unknown	none	nra	24196	15	admission-screen	1	113	15560	112	126	0	4104	0	1323	112	0	112	336	627	2361	./captures-00/QF_LRA_LassoRanker_CooperatingT2_p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2.out
QF_LRA/sal/pursuit/pursuit-safety-16.smt2	0	24128	unknown	none	nra	24013	16	model-did-not-replay	1	1229	1444	1228	3013	0	1028	0	3007	1228	0	1228	218	2650	396051	./captures-00/QF_LRA_sal_pursuit_pursuit-safety-16.smt2.out
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0127.smt2	0	108	sat	nra	nra	1	5	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_atan_problem_2_weak2_atan-problem-2-weak2-chunk-0127.smt2.out
QF_LRA/sc/sc-27.base.cvc.smt2	0	24128	unknown	none	nra	24025	15	admission-screen	1	1007	1874	1006	4158	0	1085	0	5332	1006	0	1006	211	4959	372070	./captures-00/QF_LRA_sc_sc-27.base.cvc.smt2.out
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0019.smt2	0	107	sat	qf-bv	dl-online	0	4	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_bottom-plate-mixer_bottom-plate-mixer-chunk-0019.smt2.out
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	0	24429	unknown	none	nra	24268	15	admission-screen	1	31	38497	30	30	0	2601	0	685	30	0	30	182	332	679	./captures-00/QF_LRA_LassoRanker_CooperatingT2_janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	0	25132	unknown																					./captures-00/QF_LRA_LassoRanker_CooperatingT2_hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2.out
QF_LRA/sc/sc-5.base.cvc.smt2	0	13518	unsat	nra	nra	13448	5	model-did-not-replay	1	1284	356	1283	6851	0	265	0	649	1283	0	1283	68	577	108858	./captures-00/QF_LRA_sc_sc-5.base.cvc.smt2.out
