mode	case	expected	verdict	class	detail
parse-only	tutorial/024_levelMaxComm	accept	accept	ok	-
parse-only	tutorial/025_levelMaxAssoc	accept	accept	ok	-
parse-only	tutorial/026_levelMaxIdem	accept	accept	ok	-
parse-only	tutorial/027_levelMaxAbsorb	accept	accept	ok	-
parse-only	tutorial/028_inferVar	accept	accept	ok	-
parse-only	tutorial/029_defEqLambda	accept	accept	ok	-
parse-only	tutorial/030_peano1	accept	accept	ok	-
parse-only	tutorial/031_peano2	accept	accept	ok	-
parse-only	tutorial/032_peano3	accept	accept	ok	-
parse-only	tutorial/033_letType	accept	accept	ok	-
parse-only	tutorial/034_letTypeDep	accept	accept	ok	-
parse-only	tutorial/035_letRed	accept	accept	ok	-
parse-only	tutorial/036_empty	accept	accept	ok	-
parse-only	tutorial/037_boolType	accept	accept	ok	-
parse-only	tutorial/038_twoBool	accept	accept	ok	-
parse-only	tutorial/039_andType	accept	accept	ok	-
parse-only	tutorial/040_prodType	accept	accept	ok	-
parse-only	tutorial/041_pprodType	accept	accept	ok	-
parse-only	tutorial/042_pUnitType	accept	accept	ok	-
parse-only	tutorial/043_eqType	accept	accept	ok	-
parse-only	tutorial/044_natDef	accept	accept	ok	-
parse-only	tutorial/045_rbTreeDef	accept	accept	ok	-
parse-only	tutorial/046_inductBadNonSort	reject	accept	ok	-
parse-only	tutorial/047_inductBadNonSort2	reject	accept	ok	-
parse-only	tutorial/048_inductLevelParam	reject	reject	malformed	line_7:_single-family_inductive_must_export_one_recursor
parse-only	tutorial/049_inductTooFewParams	reject	accept	ok	-
parse-only	tutorial/050_inductWrongCtorParams	reject	accept	ok	-
parse-only	tutorial/051_inductWrongCtorResParams	reject	accept	ok	-
parse-only	tutorial/052_inductWrongCtorResLevel	reject	accept	ok	-
parse-only	tutorial/053_inductInIndex	reject	reject	malformed	line_14:_exported_recursor_K-like_flag_differs_from_the_kernel-derived_one
parse-only	tutorial/054_indNeg	reject	accept	ok	-
parse-only	tutorial/055_reduceCtorParam.mk	accept	accept	ok	-
parse-only	tutorial/056_reduceCtorType.mk	reject	reject	malformed	line_26:_generated/exported_recursor_universe-parameter_arity_differs
