file	A	B	A_ms	B_ms	first
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0037.smt2	sat	sat	108	108	A
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0048.smt2	unsat	unsat	109	108	B
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0007.smt2	sat	sat	108	109	A
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0016.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0026.smt2	sat	sat	109	109	A
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0037.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0046.smt2	sat	sat	110	108	A
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0055.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0065.smt2	sat	sat	109	109	A
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0089.smt2	unsat	unsat	109	109	B
QF_LRA/meti-tarski/sin/problem/8/sin-problem-8-chunk-0011.smt2	sat	sat	109	108	A
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0009.smt2	sat	sat	108	108	B
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0023.smt2	unsat	unsat	109	109	A
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0008.smt2	sat	sat	109	109	A
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0059.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0069.smt2	sat	sat	109	109	A
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0103.smt2	sat	sat	109	108	B
QF_LRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0010.smt2	sat	sat	109	108	A
QF_LRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0417.smt2	sat	sat	108	108	B
QF_LRA/miplib/danoint-266.smt2	unknown	unknown	24126	24125	A
QF_LRA/miplib/fixnet-5000.smt2	unknown	unknown	24131	24130	B
QF_LRA/miplib/opt1217--57.smt2	unknown	unknown	24127	24126	B
QF_LRA/miplib/pp08a-1000.smt2	unknown	unknown	24125	24126	A
QF_LRA/miplib/pp08a-7349.smt2	unknown	unknown	24126	24126	B
QF_LRA/miplib/vpm2-5.smt2	unknown	unknown	24126	24026	A
QF_LRA/sal/carpark/Carpark2-ausgabe-8.smt2	unknown	unknown	109	109	B
QF_LRA/sal/gasburner/gasburner-prop3-12.smt2	unsat	unsat	6614	6613	A
QF_LRA/sal/gasburner/gasburner-prop3-2.smt2	unsat	unsat	109	108	B
QF_LRA/sal/gasburner/gasburner-prop3-9.smt2	unsat	unsat	809	810	A
QF_LRA/sal/pursuit/pursuit-safety-16.smt2	unknown	unknown	24126	24128	A
QF_LRA/sal/pursuit/pursuit-safety-5.smt2	unsat	unsat	209	209	B
QF_LRA/sal/tgc/tgc_io-nosafe-4.smt2	unsat	unsat	109	109	A
QF_LRA/sal/tgc/tgc_io-safe-13.smt2	unknown	unknown	4211	4212	B
QF_LRA/sal/tgc/tgc_io-safe-20.smt2	unknown	unknown	4612	4712	A
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-17.smt2	unsat	unsat	108	108	A
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-1.smt2	unsat	unsat	109	109	B
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-6.smt2	unsat	unsat	209	209	B
QF_LRA/sal/windowreal/windowreal-safe2-1.smt2	unsat	unsat	109	109	B
