file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
From_T2__zlib-adler32.c.t2_fixed__p25888_safety_0.smt2	unknown	19.73	unknown	24.03	unknown	26.21
1051.smt2	unknown	17.93	sat	0.11	sat	4.01
1166.smt2	unknown	16.83	sat	0.21	unknown	26.21
1280.smt2	sat	5.22	sat	0.11	sat	0.31
1395.smt2	sat	6.82	sat	0.31	sat	0.31
1509.smt2	unknown	17.83	sat	0.11	sat	0.31
1623.smt2	unknown	16.33	sat	0.51	unknown	26.22
1738.smt2	unknown	24.23	sat	0.11	sat	0.21
1854.smt2	sat	7.42	sat	0.11	sat	0.31
227.smt2	unknown	24.13	sat	0.11	sat	0.11
341.smt2	unknown	24.24	sat	0.11	sat	0.21
456.smt2	unknown	16.63	sat	0.11	sat	0.41
571.smt2	unknown	24.33	sat	0.41	sat	2.31
687.smt2	unknown	16.83	sat	0.11	sat	0.41
803.smt2	unknown	16.43	sat	0.21	sat	0.91
919.smt2	sat	7.92	sat	0.11	sat	0.21
array_3-1-O0.smt2	unknown	0.31	unsat	0.71	unsat	3.21
geo1-u_valuebound2-O0.smt2	unknown	10.72	unsat	0.31	unsat	0.41
ps2-ll_unwindbound50-O0.smt2	unknown	24.23	unsat	0.31	unsat	0.11
MS_06.smt2	unknown	24.13	unknown	24.02	unknown	26.21
STC_0078.smt2	unknown	24.13	unknown	24.03	unknown	26.21
STC_0205.smt2	sat	10.32	unknown	24.03	unknown	26.21
STC_0332.smt2	sat	4.51	unknown	24.03	unknown	26.22
STC_0459.smt2	sat	4.11	unknown	24.03	unknown	26.22
STC_0586.smt2	sat	4.11	unknown	24.03	unknown	26.22
STC_0713.smt2	sat	4.31	unknown	24.03	unknown	26.21
STC_0840.smt2	sat	5.22	unknown	24.03	unknown	26.22
STC_0967.smt2	unknown	24.13	unknown	24.03	unknown	26.22
sqrtStep6a.smt2	unknown	1.41	unsat	0.11	unknown	26.22
aproveSMT1294590808882795189.smt2	sat	0.11	sat	0.11	sat	0.11
aproveSMT1669457300444119286.smt2	sat	9.32	sat	0.21	sat	0.91
aproveSMT2045146210738691450.smt2	sat	0.11	sat	0.11	sat	0.11
aproveSMT2449356678853584219.smt2	sat	13.22	sat	2.51	unknown	26.21
aproveSMT2912633883485370336.smt2	sat	11.02	sat	0.91	unknown	26.21
aproveSMT3326416242224032552.smt2	sat	0.11	sat	0.11	sat	0.11
aproveSMT3734122552322670033.smt2	sat	0.51	sat	0.11	sat	0.11
aproveSMT4225308127115953119.smt2	sat	0.51	sat	0.11	sat	0.11
aproveSMT4687047739446499948.smt2	unknown	11.72	unsat	0.11	unsat	0.11
aproveSMT5048239408100334127.smt2	unknown	15.23	unsat	0.21	unsat	1.21
aproveSMT5574282980958522472.smt2	unsat	4.12	unsat	0.11	unsat	0.11
aproveSMT6025886977398171379.smt2	sat	0.61	sat	0.11	sat	0.11
aproveSMT6461796824751951221.smt2	unknown	24.13	unsat	0.61	unsat	9.62
aproveSMT6902839063897808376.smt2	sat	10.92	sat	1.41	sat	0.31
aproveSMT7398754856107094872.smt2	sat	9.32	sat	0.21	sat	1.31
aproveSMT7795667227375240089.smt2	unknown	11.32	unsat	0.11	unsat	0.11
aproveSMT8300370999791707493.smt2	sat	13.22	sat	0.81	sat	2.31
aproveSMT8801446599485295192.smt2	sat	2.91	sat	0.21	sat	0.21
aproveSMT994105904163423260.smt2	sat	10.92	sat	0.81	sat	1.01
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2	unknown	24.23	unsat	0.41	unsat	0.21
problem-002617.cvc.1.smt2	sat	4.21	sat	0.11	sat	0.11
term-MRIndM.smt2	sat	8.12	sat	0.11	sat	0.21
106.smt2	unknown	25.03	unknown	24.03	unknown	26.21
