file	arm	verdict	ms	exit
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0354.smt2	z3-lin	unknown	209	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0354.smt2	cvc5	unsat	109	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0562.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0562.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0562.smt2	z3-lin	sat	108	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0562.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/sqrt/circles/3/sqrt-circles-3-chunk-0021.smt2	z3-default	unsat	108	0
QF_NRA/meti-tarski/sqrt/circles/3/sqrt-circles-3-chunk-0021.smt2	z3-nlsat	unsat	107	0
QF_NRA/meti-tarski/sqrt/circles/3/sqrt-circles-3-chunk-0021.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/sqrt/circles/3/sqrt-circles-3-chunk-0021.smt2	cvc5	unsat	108	0
QF_NRA/UltimateAutomizer/InVarSynth_pcatest1.bpl_Iteration1_1.smt2	z3-default	sat	108	0
QF_NRA/UltimateAutomizer/InVarSynth_pcatest1.bpl_Iteration1_1.smt2	z3-nlsat	sat	108	0
QF_NRA/UltimateAutomizer/InVarSynth_pcatest1.bpl_Iteration1_1.smt2	z3-lin	none	24029	0
QF_NRA/UltimateAutomizer/InVarSynth_pcatest1.bpl_Iteration1_1.smt2	cvc5	sat	409	0
QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	z3-default	none	24029	0
QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	z3-nlsat	none	24128	0
QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	z3-lin	none	24031	0
QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	cvc5	none	26332	134
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	z3-default	none	24034	0
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	z3-nlsat	none	24033	0
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	z3-lin	unsat	109	0
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	cvc5	unsat	108	0
QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	z3-default	none	24031	0
QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	z3-nlsat	none	24034	0
QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	z3-lin	none	24032	0
QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	cvc5	unsat	18025	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	z3-default	none	24032	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	z3-nlsat	none	24031	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	z3-lin	unknown	108	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	cvc5	none	26216	134
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	z3-default	sat	108	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	z3-nlsat	sat	108	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	z3-lin	sat	108	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	cvc5	sat	107	0
QF_NRA/20200911-Pine/1599121863243316000.smt2	z3-default	sat	107	0
QF_NRA/20200911-Pine/1599121863243316000.smt2	z3-nlsat	sat	108	0
QF_NRA/20200911-Pine/1599121863243316000.smt2	z3-lin	unknown	107	0
QF_NRA/20200911-Pine/1599121863243316000.smt2	cvc5	sat	108	0
QF_NRA/20200911-Pine/1599122164633784000.smt2	z3-default	sat	108	0
