cell,latency_nanos,cumulative_fraction
z3_cold,354089,0.32172470978441126
z3_cold,357304,0.32338308457711445
z3_cold,357825,0.3250414593698176
z3_cold,362797,0.32669983416252074
z3_cold,366169,0.3283582089552239
z3_cold,372896,0.33001658374792703
z3_cold,375103,0.33167495854063017
z3_cold,375766,0.3333333333333333
z3_cold,377019,0.33499170812603646
z3_cold,377467,0.33665008291873966
z3_cold,377683,0.3383084577114428
z3_cold,383809,0.33996683250414594
z3_cold,386028,0.3416252072968491
z3_cold,389687,0.34328358208955223
z3_cold,389762,0.3449419568822554
z3_cold,394652,0.3466003316749585
z3_cold,396717,0.3482587064676617
z3_cold,403853,0.34991708126036486
z3_cold,405169,0.351575456053068
z3_cold,405446,0.35323383084577115
z3_cold,405451,0.3548922056384743
z3_cold,405727,0.35655058043117743
z3_cold,405812,0.3582089552238806
z3_cold,407444,0.3598673300165838
z3_cold,407930,0.3615257048092869
z3_cold,411293,0.36318407960199006
z3_cold,413278,0.3648424543946932
z3_cold,413630,0.36650082918739635
z3_cold,414692,0.3681592039800995
z3_cold,415342,0.36981757877280264
z3_cold,420706,0.3714759535655058
z3_cold,422634,0.373134328358209
z3_cold,424288,0.3747927031509121
z3_cold,429291,0.37645107794361526
z3_cold,430135,0.3781094527363184
z3_cold,430179,0.37976782752902155
z3_cold,430885,0.3814262023217247
z3_cold,431559,0.38308457711442784
z3_cold,431953,0.38474295190713104
z3_cold,432820,0.3864013266998342
z3_cold,437391,0.3880597014925373
z3_cold,442111,0.38971807628524047
z3_cold,442627,0.3913764510779436
z3_cold,443063,0.39303482587064675
z3_cold,443737,0.3946932006633499
z3_cold,444028,0.3963515754560531
z3_cold,445834,0.39800995024875624
z3_cold,446579,0.3996683250414594
z3_cold,452021,0.4013266998341625
z3_cold,453180,0.40298507462686567
z3_cold,471553,0.4046434494195688
z3_cold,472551,0.40630182421227196
z3_cold,472798,0.4079601990049751
z3_cold,473528,0.4096185737976783
z3_cold,479961,0.41127694859038144
z3_cold,480096,0.4129353233830846
