file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_UFLIA/mathsat/Hash/hash_sat_09_11.smt2	sat	18421	sat	18424	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_10_05.smt2	sat	18421	sat	18425	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_10_17.smt2	sat	19025	sat	19023	A	sat
QF_UFLIA/mathsat/Hash/hash_uns_03_11.smt2	unsat	1208	unsat	1208	B	unsat
QF_UFLIA/mathsat/Hash/hash_uns_04_05.smt2	unsat	809	unsat	807	A	unsat
QF_UFLIA/mathsat/Hash/hash_uns_04_17.smt2	unsat	6714	unsat	7013	B	unsat
QF_UFLIA/mathsat/Hash/hash_uns_05_11.smt2	unknown	25027	unknown	24326	A	unsat
QF_UFLIA/mathsat/Wisa/xs-05-08-4-2-5-4.smt2	unsat	108	unsat	108	B	unsat
QF_UFLIA/mathsat/Wisa/xs-06-07-4-5-4-2.smt2	sat	108	sat	108	A	sat
QF_UFLIA/mathsat/Wisa/xs-07-05-5-2-3-5.smt2	unsat	108	unsat	107	B	unsat
QF_UFLIA/mathsat/Wisa/xs-07-20-2-5-1-4.smt2	unsat	207	unsat	208	A	unsat
QF_UFLIA/mathsat/Wisa/xs-08-19-2-2-3-1.smt2	unsat	708	unsat	708	B	unsat
QF_UFLIA/mathsat/Wisa/xs-09-17-2-1-4-1.smt2	unsat	1109	unsat	1109	A	unsat
QF_UFLIA/mathsat/Wisa/xs-10-16-3-5-2-4.smt2	sat	1008	sat	1008	B	sat
QF_UFLIA/mathsat/Wisa/xs-11-14-5-3-1-2.smt2	sat	309	sat	307	A	sat
QF_UFLIA/mathsat/Wisa/xs-12-11-1-4-4-3.smt2	sat	708	sat	708	B	sat
QF_UFLIA/mathsat/Wisa/xs-13-09-3-2-3-2.smt2	sat	809	sat	708	A	sat
QF_UFLIA/mathsat/Wisa/xs-14-07-1-4-1-3.smt2	sat	709	sat	809	B	sat
QF_UFLIA/mathsat/Wisa/xs-15-05-2-1-2-3.smt2	sat	909	sat	910	A	sat
QF_UFLIA/mathsat/Wisa/xs-15-18-4-1-3-5.smt2	sat	910	sat	910	B	sat
QF_UFLIA/mathsat/Wisa/xs-16-15-2-3-4-4.smt2	sat	1009	sat	1008	A	sat
QF_UFLIA/mathsat/Wisa/xs-17-12-3-4-4-1.smt2	sat	1010	sat	1008	B	sat
QF_UFLIA/mathsat/Wisa/xs-18-09-1-5-4-4.smt2	sat	1209	sat	1209	A	sat
QF_UFLIA/mathsat/Wisa/xs-19-06-4-3-2-1.smt2	sat	1111	sat	1209	B	sat
QF_UFLIA/mathsat/Wisa/xs-19-18-2-2-2-5.smt2	sat	1210	sat	1108	A	sat
QF_UFLIA/mathsat/Wisa/xs-20-15-2-2-4-2.smt2	sat	1510	sat	1509	B	sat
QF_UFLIA/wisas/xs_12_17.smt2	sat	2912	sat	2909	A	sat
QF_UFLIA/wisas/xs_16_26.smt2	unknown	25031	unknown	24324	B	sat
QF_UFLIA/wisas/xs_20_30.smt2	unknown	25027	unknown	24326	A	sat
QF_UFLIA/wisas/xs_24_34.smt2	sat	15320	sat	14216	B	sat
