file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-sat-compact-nomem.smt2	shipped	unknown	0	25031	NOROUTE	na	na	na	na	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-sat-compact-nomem.smt2	preadr	unknown	0	25126	NOROUTE	na	na	na	na	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_UFBV/20210312-Bouvier/vlsat3_d25.smt2	shipped	unknown	0	210	15	none	euf-online	114	149	give-up kind=ResourceLimit detail=online UFBV has 5667 semantic atoms, exceeding the cap of 4096	no
QF_UFBV/20210312-Bouvier/vlsat3_d25.smt2	preadr	unknown	0	211	15	none	euf-online	110	143	give-up kind=ResourceLimit detail=online UFBV has 5667 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/20210312-Bouvier/vlsat3_d56.smt2	shipped	unknown	0	211	15	none	euf-online	101	138	give-up kind=ResourceLimit detail=online UFBV has 6363 semantic atoms, exceeding the cap of 4096	no
QF_UFBV/20210312-Bouvier/vlsat3_d56.smt2	preadr	unknown	0	210	15	none	euf-online	100	137	give-up kind=ResourceLimit detail=online UFBV has 6363 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/20210312-Bouvier/vlsat3_d86.smt2	shipped	unknown	0	24925	15	none	euf-online	23786	24694	give-up kind=NodeBudget detail=online UFBV input has 322312 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20210312-Bouvier/vlsat3_d86.smt2	preadr	unknown	0	24825	15	none	euf-online	23776	24686	give-up kind=NodeBudget detail=online UFBV input has 322312 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20210312-Bouvier/vlsat3_j16.smt2	shipped	unknown	0	1511	15	none	euf-online	1345	1453	give-up kind=NodeBudget detail=online UFBV input has 40019 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20210312-Bouvier/vlsat3_j16.smt2	preadr	unknown	0	1410	15	none	euf-online	1244	1353	give-up kind=NodeBudget detail=online UFBV input has 40019 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20210312-Bouvier/vlsat3_j47.smt2	shipped	unknown	0	13520	15	none	euf-online	13056	13431	give-up kind=NodeBudget detail=online UFBV input has 126875 DAG nodes, exceeding the admission cap of 16384	no
