subset	verdict	bound_by	last	attempts	total_ms	giveup_kind	giveup_raw
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__array_applications__why_0df1aa_array_applications-T-defqtvc__00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	13072	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	9	NONE	NONE
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12912	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
AUFDTLIRA_20200306-Kanig_spark2014bench_tagged_stacks__stacks.adb_17_19_index_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	160	771	Incomplete	e-matching instantiation reached fixpoint without refuting after 3 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	87	NONE	NONE
AUFLIRA_nasa_fol_simplify_arithmetics_quaternion_ds1_symm_0008.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	1402	Incomplete	e-matching instantiation reached fixpoint without refuting after 3 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_fol_simplify_arithmetics_thruster_init_0161.fof.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24007	ResourceLimit	quantified solve time budget exhausted after e-matching
AUFLIRA_nasa_fol_simplify_arithmetics_thruster_inuse_0068.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	16520	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
AUFLIRA_nasa_fol_simplify_array_only_cl5_nebula_init_0015.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	222	Incomplete	e-matching instantiation reached fixpoint without refuting after 2 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_fol_simplify_array_only_cl5_nebula_init_0115.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	290	Incomplete	e-matching instantiation reached fixpoint without refuting after 2 rounds (no further instance to admit; more rounds cannot help)
