subset	verdict	rc	ms	host	core
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.rel2.smt2	unknown	0	24225	server5	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.rel3.smt2	unknown	0	23525	server6	3
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.small1.smt2	sat	0	109	server7	0
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.small10.smt2	sat	0	110	server7	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.small2.smt2	sat	0	111	server7	2
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.small25.smt2	sat	0	111	server7	3
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.small5.smt2	sat	0	109	server5	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.small50.smt2	unknown	0	114	server6	3
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.suffix1.smt2	sat	0	110	server7	0
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.suffix10.smt2	sat	0	110	server7	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.suffix2.smt2	sat	0	110	server7	2
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.suffix25.smt2	sat	0	110	server7	3
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.suffix5.smt2	sat	0	108	server5	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.suffix50.smt2	unknown	0	3612	server6	3
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.prefix1.smt2	sat	0	110	server7	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.prefix10.smt2	unknown	0	109	server7	1
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.prefix2.smt2	sat	0	109	server7	2
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.prefix25.smt2	unknown	0	1211	server7	3
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.prefix5.smt2	sat	0	108	server5	1
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.prefix50.smt2	unknown	0	23829	server6	3
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.rel0.smt2	sat	0	110	server7	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.rel1.smt2	unknown	0	25127	server7	1
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.rel2.smt2	unknown	0	25229	server7	2
