file	base	base_giveup	guard	guard_giveup	status
P405-006__arithmetic_from_dafny__mod_lemmas.adb_29_21_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P405-006__arithmetic_from_dafny__mod_lemmas.adb_59_17_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P405-006__arithmetic_from_dafny__mod_lemmas.adb_76_23_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P405-006__arithmetic_from_dafny__mul_lemmas.adb_130_16_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unsat
P405-006__arithmetic_from_dafny__mul_lemmas.adb_158_40_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unsat
P405-006__arithmetic_from_dafny__mul_lemmas.adb_27_16_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unsat
P405-006__arithmetic_from_dafny__mul_lemmas.adb_47_14_postcondition___00.smt2	unsat	none	unsat	none	unsat
P405-006__arithmetic_from_dafny__mul_lemmas.adb_82_14_postcondition___00.smt2	unknown	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve	unknown	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve	unsat
P405-006__arithmetic_lemmas__test_arith.adb_121_7_precondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P405-006__arithmetic_lemmas__test_arith.adb_161_16_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P405-006__arithmetic_lemmas__test_arith.adb_225_4_precondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P405-006__arithmetic_lemmas__test_arith.adb_289_4_precondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P510-019__user_lemma__user_lemma.adb_11_22_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P615-019__silver__division_by_zero.adb_13_27_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
P615-019__silver__overflow_check.adb_18_32_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
P719-001__force__arithmetic.adb_7_38_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
PB03-020__unsoundness__fix.adb_6_15_range_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
Q328-034__mut_discr__values-operations.adb_56_13_dead_code___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
Q328-034__mut_discr__values-operations.ads_17_16_inconsistent_pre___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
Q907-043__ceiling_locking__protected_sequence.adb_22_26_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
