file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	bothmid	unsat	0	410	5	ufbv-online-cdclt	dl-online	325	339	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	bothmax	unsat	0	412	5	ufbv-online-cdclt	dl-online	325	339	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	n262144	sat	0	110	4	qf-bv	dl-online	8	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	bothmid	sat	0	111	4	qf-bv	dl-online	9	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	bothmax	sat	0	111	4	qf-bv	dl-online	9	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	base	sat	0	110	4	qf-bv	dl-online	8	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	a2048	sat	0	110	4	qf-bv	dl-online	8	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	a4096	sat	0	110	4	qf-bv	dl-online	8	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	a8192	sat	0	110	4	qf-bv	dl-online	8	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	n32768	sat	0	110	4	qf-bv	dl-online	8	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_ball2004_2_ab_cti_max.smt2	n65536	sat	0	110	4	qf-bv	dl-online	8	10	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_train-gate.1.prop1_ab_cti_max.smt2	a8192	sat	0	1311	8	ufbv-online-cdclt	ufbv-online-cdclt	825	1194	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_train-gate.1.prop1_ab_cti_max.smt2	n32768	sat	0	1311	8	ufbv-online-cdclt	ufbv-online-cdclt	827	1195	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_train-gate.1.prop1_ab_cti_max.smt2	n65536	sat	0	1312	8	ufbv-online-cdclt	ufbv-online-cdclt	829	1199	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_train-gate.1.prop1_ab_cti_max.smt2	n262144	sat	0	1312	8	ufbv-online-cdclt	ufbv-online-cdclt	832	1202	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_train-gate.1.prop1_ab_cti_max.smt2	bothmid	sat	0	1311	8	ufbv-online-cdclt	ufbv-online-cdclt	826	1195	none	no
